출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020210071426,"제전성 수지 조성물, 제전성 수지 조성물의 제조 방법 및 전자 부품 포장재",20210602,C08L 53/02,8,2
1020210070723,열전대 가이드 및 세라믹 히터,20210601,H05B 3/14,1,9
1020227011285,프리웨트 모듈 및 프리웨트 방법,20210531,C25D 17/00,6,6
1020210068922,에칭 방법 및 기판 처리 장치,20210528,H01L 21/3213,3,5
1020210068037,축전 디바이스용 세퍼레이터 및 그의 제조 방법,20210527,H01M 50/489,7,6
1020210067927,"기판 처리 장치, 열전대 및 절연 부재",20210526,H01L 21/324,6,21
1020210066642,"수지 재료 공급 장치, 수지 성형 장치 및 수지 성형품의 제조 방법",20210525,B29C 31/06,5,2
1020210064620,"기판 처리 장치, 장치 관리 컨트롤러 및 프로그램",20210520,H01L 21/67,4,14
1020210064626,검사 장치 및 검사 방법,20210520,G01R 31/28,4,4
1020210064105,플랜트 제어 장치 및 플랜트 제어 방법,20210518,B21B 37/58,2,6
1020227045640,타플루프로스트의 정제 방법,20210518,C07C 405/00,12,8
1020210063215,"기판 처리 장치와 그 제조 방법, 및 배기 구조",20210517,H01L 21/67,10,4
1020237020951,방현 필름 및 화상 표시 장치,20210514,G02B 1/11,2,12
1020210061915,기판 반송 장치 및 기판 파지 판정 방법,20210513,H01L 21/677,2,6
1020210060681,표시 장치 및 그 제조 방법,20210511,G02F 1/1368,3,0
1020210060592,"연접 처리 용기, 기판 처리 시스템 및 기판 처리 방법",20210511,H01L 21/67,8,7
1020210059885,표시장치 및 전자기기,20210510,H01L 51/52,2,11
1020210058454,성막 방법 및 성막 장치,20210506,H01L 21/768,4,7
1020210057123,반도체 장치,20210503,G01C 3/08,6,0
1020210056364,"구리 합금 잉곳, 구리 합금박, 및 구리 합금 잉곳의 제조 방법",20210430,C22C 9/00,4,3
1020210052263,터미널 태클용 연결구,20210422,A01K 91/03,3,5
1020227036727,레어 메탈염의 회수 방법,20210421,C22B 26/12,11,17
1020210051608,작업차의 머플러 장치 및 작업차,20210421,E02F 9/08,5,4
1020210050295,공기 조화 시스템 및 제어 방법,20210419,F24F 11/84,5,6
1020227040809,광학 부재용 점착 테이프,20210419,C09J 7/29,1,9
1020210048344,EUV 리소그래피용 반사형 마스크 블랭크,20210414,G03F 1/24,8,9
1020210048387,"구동 제어 장치, 구동 제어 방법 및 구동 제어 프로그램",20210414,H04N 23/60,5,13
1020210046999,반도체 장치,20210412,H01L 29/786,13,1
1020210047023,압축기 유닛,20210412,F04B 49/00,2,3
1020210046234,포토마스크 블랭크,20210409,G03F 1/32,7,7
1020210044979,멀티 하전 입자 빔 조사 장치 및 멀티 하전 입자 빔 검사 장치,20210407,H01J 37/147,2,10
1020217036530,결정화 유리 및 화학 강화 유리,20210407,C03C 10/00,2,8
1020210044675,"하프톤 위상 시프트 마스크 블랭크의 제조 방법, 하프톤 위상 시프트 마스크 블랭크, 하프톤 위상 시프트 마스크 및 포토마스크 블랭크용 박막 형성 장치",20210406,G03F 1/32,2,5
1020210043799,"공액 디엔계 중합체 및 그의 제조 방법, 그리고 고무 조성물",20210405,C08F 236/14,4,7
1020210042793,반도체 장치 및 전자 장치,20210401,H01L 27/108,11,18
1020227038206,기판 처리 방법 및 기판 처리 장치,20210401,H01L 21/02,2,13
1020210040840,"공액 디엔계 중합체, 공액 디엔계 중합체의 제조 방법, 공액 디엔계 중합체 조성물, 및 고무 조성물",20210330,C08F 236/10,4,9
1020210040864,입력 디바이스,20210330,A63F 13/24,5,5
1020210040197,"제어 밸브, 취득 장치, 취득 방법 및 취득 프로그램",20210329,F15B 19/00,7,14
1020210040151,기록 장치,20210329,B41J 2/01,3,25
1020210039314,"유량 제어 장치, 유량 제어 방법 및 컴퓨터 판독 가능한 기록 매체",20210326,G05D 7/01,5,14
1020210038732,반도체 장치 및 그의 제작 방법,20210325,H01L 29/786,5,0
1020210038405,세라믹 히터 및 그 제법,20210325,H01L 21/67,9,3
1020227036909,플럭스 및 솔더 페이스트,20210325,B23K 35/36,3,11
1020217029052,"보호 필름, 폴더블 디바이스, 및 롤러블 디바이스",20210324,C08J 7/044,16,11
1020210036406,세정용 플럭스 및 세정용 솔더 페이스트,20210322,B23K 35/36,2,2
1020210035629,연마 방법 및 연마 장치,20210319,B24B 37/015,6,10
1020210035984,표시 장치,20210319,H01L 27/32,1,7
1020210036253,"가스 공급 노즐, 기판 처리 장치, 반도체 장치의 제조 방법 및 프로그램",20210319,H01L 21/02,10,21
1020210035668,"기판 처리 시스템, 기판 처리 방법, 및 제어 장치",20210319,C23C 16/52,3,17
1020227028542,"적층 접합 재료, 반도체 패키지 및 파워 모듈",20210319,H01L 23/00,14,21
1020210035295,포고 블록,20210318,G01R 1/073,2,7
1020227037352,"불융화 폴리페닐렌에테르 섬유, 불융화 폴리페닐렌에테르 성형체, 탄소 섬유, 활성 탄소 섬유, 탄소 섬유 성형체, 활성 탄소 섬유 성형체, 및 그의 제조 방법",20210318,D01F 9/24,10,5
1020210033926,기판 적재대 및 기판 처리 장치,20210316,H01L 21/687,3,3
1020210033733,"제어 시스템, 제어 방법 및 기판 처리 장치",20210316,H01L 21/67,5,5
1020210033235,압축기 유닛의 정지 제어 방법 및 압축기 유닛,20210315,F04B 49/03,2,3
1020210033168,다이 본딩 장치 및 반도체 장치의 제조 방법,20210315,H01L 21/67,4,21
1020227002528,작업 차량,20210312,B60T 13/68,3,4
1020210031750,성막 방법 및 성막 장치,20210311,H01L 21/02,2,7
1020210031266,기판 처리 장치,20210310,H01L 21/304,11,34
1020210031137,"화합물, 광경화성 조성물, 경화막, 및 유기 EL 소자",20210310,C07F 7/00,5,0
1020217037948,도금 장치 및 도금 방법,20210310,C25D 17/00,4,18
